Pintura FV ( cubeta Esmalte);Operación;Gastos de Operación
Responsabilidad Pintura FV ( cubeta Esmalte);Operación;Responsabilidad de Gastos de Operación
Platano;Operación;Gastos de Operación
Responsabilidad Platano;Operación;Responsabilidad de Gastos de Operación
RAISA;Operación;Gastos de Operación
Responsabilidad RAISA;Operación;Responsabilidad de Gastos de Operación
ROBERTO REYES;Operación;Sueldos y Prestaciones
Responsabilidad ROBERTO REYES;Operación;Responsabilidad de Sueldos y Prestaciones
ROCIO IMPI;Operación;Sueldos y Prestaciones
Responsabilidad ROCIO IMPI;Operación;Responsabilidad de Sueldos y Prestaciones
SAM JARABES TAPATIOS;Operación;Gastos de Operación
Responsabilidad SAM JARABES TAPATIOS;Operación;Responsabilidad de Gastos de Operación
SANICHEM;Operación;Gastos de Operación
Responsabilidad SANICHEM;Operación;Responsabilidad de Gastos de Operación
SEGURO AVEO;Operación;Gastos de Operación
Responsabilidad SEGURO AVEO;Operación;Responsabilidad de Gastos de Operación
SIMA (Calibracion);Operación;Gastos de Operación
Responsabilidad SIMA (Calibracion);Operación;Responsabilidad de Gastos de Operación
SINDULFO;Operación;Sueldos y Prestaciones
Responsabilidad SINDULFO;Operación;Responsabilidad de Sueldos y Prestaciones
SR IGNACIO;Operación;Sueldos y Prestaciones
Responsabilidad SR IGNACIO;Operación;Responsabilidad de Sueldos y Prestaciones
STEREN NEBULIZADORES;Operación;Gastos de Operación
Responsabilidad STEREN NEBULIZADORES;Operación;Responsabilidad de Gastos de Operación
TARIMA;Operación;Gastos de Operación
Responsabilidad TARIMA;Operación;Responsabilidad de Gastos de Operación
TRAMITES CFE;Obligaciones Legales;Impuestos y Gobierno
Responsabilidad TRAMITES CFE;Obligaciones Legales;Responsabilidad de Impuestos y Gobierno
TRES GUERRAS;Operación;Gastos de Operación
Responsabilidad TRES GUERRAS;Operación;Responsabilidad de Gastos de Operación
Tenencias;Obligaciones Legales;Impuestos y Gobierno
Responsabilidad Tenencias;Obligaciones Legales;Responsabilidad de Impuestos y Gobierno
Transporte de Gente;Operación;Gastos de Operación
Responsabilidad Transporte de Gente;Operación;Responsabilidad de Gastos de Operación
VERIFICACION FLOSOL;Obligaciones Legales;Impuestos y Gobierno
Responsabilidad VERIFICACION FLOSOL;Obligaciones Legales;Responsabilidad de Impuestos y Gobierno
Varios (Llaves reparacion FV);Operación;Gastos de Operación
Responsabilidad Varios (Llaves reparacion FV);Operación;Responsabilidad de Gastos de Operación
gastos;Operación;Gastos de Operación
Responsabilidad gastos;Operación;Responsabilidad de Gastos de Operación
telefono;Operación;Gastos de Operación
Responsabilidad telefono;Operación;Responsabilidad de Gastos de Operación
Omar Guerrero;Ingresos Operativos;Ventas
Gera Armenta;Ingresos Operativos;Ventas
Gaby;Ingresos Operativos;Ventas
Cuenta;Ingresos Operativos;Ventas
Proberry;Ingresos Operativos;Ventas
Reimer;Ingresos Operativos;Ventas
GALU;Ingresos Operativos;Ventas
Efectivo;Ingresos Operativos;Ventas
Saldo LAR;Transferencias Internas;Movimientos Internos
Prestamo Embolsadora;Ingresos Financieros;Préstamos
Pago AVV;Ingresos Operativos;Recuperación de Cuentas
Mauricio Caro;Ingresos Operativos;Ventas
Pago Luinni;Ingresos Operativos;Recuperación de Cuentas
Crumble otros;Ingresos No Operativos;Otros Ingresos
